timestamp,mast,rssi
14,Tower2,-124.23
14,Tower3,-137.45
14,Tower1,-131.41
14,Tower4,-128.78
14,Tower5,-131.47
14,Tower6,-137.33
14,Tower8,-131.63
14,Tower9,-131.32
14,Tower10,-132.2
15,Tower7,-122.5
15,Tower2,-123.84
15,Tower3,-136.49
15,Tower1,-131.2
15,Tower4,-128.88
15,Tower5,-130.51
15,Tower6,-138.09
15,Tower8,-131.39
15,Tower9,-131.04
15,Tower10,-132.75
16,Tower7,-122.36
16,Tower2,-124.1
16,Tower3,-138.0
16,Tower1,-132.02
16,Tower4,-129.08
16,Tower5,-131.47
16,Tower6,-137.58
16,Tower8,-132.34
16,Tower9,-131.1
16,Tower10,-133.22
17,Tower7,-122.18
17,Tower2,-124.81
17,Tower3,-137.72
17,Tower1,-130.97
17,Tower4,-129.94
17,Tower5,-130.05
17,Tower6,-137.47
17,Tower8,-131.85
17,Tower9,-130.61
17,Tower10,-132.15
18,Tower7,-124.78
18,Tower2,-122.91
18,Tower3,-137.54
18,Tower1,-131.07
18,Tower4,-129.08
18,Tower5,-130.28
18,Tower6,-138.26
18,Tower8,-131.1
18,Tower9,-129.75
18,Tower10,-131.72
19,Tower7,-123.48
19,Tower2,-123.71
19,Tower3,-138.16
19,Tower1,-130.6
19,Tower4,-129.18
19,Tower5,-130.34
19,Tower6,-136.42
19,Tower8,-131.8
19,Tower9,-131.11
19,Tower10,-126.06
20,Tower7,-122.17
20,Tower2,-123.05
20,Tower3,-136.9
20,Tower1,-132.45
20,Tower4,-129.98
20,Tower5,-129.75
20,Tower6,-137.0
20,Tower8,-131.88
20,Tower9,-131.2
20,Tower10,-131.77
21,Tower7,-123.33
21,Tower2,-122.67
21,Tower3,-136.37
21,Tower1,-132.88
21,Tower4,-129.06
21,Tower5,-131.46
21,Tower6,-137.36
21,Tower8,-131.95
21,Tower9,-130.33
21,Tower10,-132.0
22,Tower7,-122.59
22,Tower2,-124.31
22,Tower3,-138.2
22,Tower1,-130.43
22,Tower4,-129.55
22,Tower5,-130.51
22,Tower6,-137.39
22,Tower8,-133.2
22,Tower9,-131.04
22,Tower10,-132.34
23,Tower7,-121.96
23,Tower2,-123.25
23,Tower3,-136.76
23,Tower1,-132.08
23,Tower4,-129.72
23,Tower5,-130.44
23,Tower6,-137.98
23,Tower8,-132.78
23,Tower9,-131.49
23,Tower10,-131.36
24,Tower7,-123.29
24,Tower2,-121.91
24,Tower3,-137.59
24,Tower1,-130.33
24,Tower4,-128.51
24,Tower5,-130.7
24,Tower6,-132.72
24,Tower8,-131.25
24,Tower9,-131.11
24,Tower10,-132.09
25,Tower7,-122.42
25,Tower2,-124.05
25,Tower3,-136.34
25,Tower1,-131.96
25,Tower4,-129.65
25,Tower5,-131.8
25,Tower6,-138.01
25,Tower8,-132.11
25,Tower9,-130.88
25,Tower10,-132.94
26,Tower7,-123.15
26,Tower2,-123.2
26,Tower3,-137.66
26,Tower1,-131.53
26,Tower4,-129.98
26,Tower5,-130.65
26,Tower6,-137.45
26,Tower8,-131.94
26,Tower9,-131.56
26,Tower10,-132.37
27,Tower7,-122.37
27,Tower2,-123.94
27,Tower3,-137.87
27,Tower1,-130.49
27,Tower4,-130.88
27,Tower5,-131.7
27,Tower6,-138.65
27,Tower8,-131.11
27,Tower9,-130.7
27,Tower10,-132.99
28,Tower7,-123.94
28,Tower2,-123.85
28,Tower3,-136.11
28,Tower1,-131.95
28,Tower4,-128.59
28,Tower5,-131.33
28,Tower6,-137.23
28,Tower8,-136.46
28,Tower9,-130.79
28,Tower10,-132.11
29,Tower7,-123.31
29,Tower2,-123.19
29,Tower3,-137.74
29,Tower1,-130.71
29,Tower4,-128.7
29,Tower5,-130.97
29,Tower6,-137.79
29,Tower8,-131.93
29,Tower9,-130.22
29,Tower10,-131.88
30,Tower7,-123.06
30,Tower2,-124.36
30,Tower3,-136.29
30,Tower1,-136.77
30,Tower4,-129.65
30,Tower5,-131.4
30,Tower6,-136.19
30,Tower8,-132.15
30,Tower9,-136.98
30,Tower10,-131.66
31,Tower7,-121.9
31,Tower2,-124.19
31,Tower3,-138.11
31,Tower1,-131.53
31,Tower4,-129.32
31,Tower5,-125.22
31,Tower6,-142.18
31,Tower8,-131.67
31,Tower9,-130.49
31,Tower10,-132.87
32,Tower7,-123.25
32,Tower2,-124.31
32,Tower3,-136.93
32,Tower1,-131.03
32,Tower4,-129.56
32,Tower5,-130.21
32,Tower6,-137.33
32,Tower8,-131.62
32,Tower9,-131.05
32,Tower10,-132.37
33,Tower7,-122.63
33,Tower2,-122.88
33,Tower3,-137.4
33,Tower1,-131.09
33,Tower4,-129.24
33,Tower5,-131.18
33,Tower6,-137.15
33,Tower8,-132.42
33,Tower9,-130.89
33,Tower10,-131.7
34,Tower7,-122.17
34,Tower2,-123.17
34,Tower3,-137.94
34,Tower1,-131.74
34,Tower4,-128.78
34,Tower5,-131.4
34,Tower6,-138.0
34,Tower8,-132.19
34,Tower9,-130.15
34,Tower10,-132.89
35,Tower7,-120.93
35,Tower2,-123.18
35,Tower3,-137.75
35,Tower1,-131.58
35,Tower4,-129.2
35,Tower5,-130.82
35,Tower6,-138.53
35,Tower8,-132.32
35,Tower9,-129.65
35,Tower10,-132.52
36,Tower7,-122.15
36,Tower2,-124.13
36,Tower3,-137.56
36,Tower1,-132.27
36,Tower4,-129.0
36,Tower5,-130.66
36,Tower6,-138.87
36,Tower8,-133.32
36,Tower9,-136.54
36,Tower10,-132.65
37,Tower7,-122.9
37,Tower2,-123.05
37,Tower3,-141.63
37,Tower1,-126.21
37,Tower4,-128.94
37,Tower5,-130.57
37,Tower6,-137.85
37,Tower8,-131.94
37,Tower9,-132.48
37,Tower10,-131.18
38,Tower7,-123.74
38,Tower2,-122.98
38,Tower3,-136.99
38,Tower1,-130.82
38,Tower4,-128.69
38,Tower5,-130.75
38,Tower6,-136.81
38,Tower8,-131.17
38,Tower9,-131.13
38,Tower10,-131.99
39,Tower7,-121.37
39,Tower2,-124.29
39,Tower3,-137.03
39,Tower1,-131.58
39,Tower4,-128.46
39,Tower5,-130.73
39,Tower6,-137.48
39,Tower8,-133.45
39,Tower9,-131.5
39,Tower10,-131.87
40,Tower7,-121.76
40,Tower2,-123.71
40,Tower3,-136.22
40,Tower1,-131.08
40,Tower4,-129.76
40,Tower5,-131.58
40,Tower6,-137.28
40,Tower8,-127.19
40,Tower9,-131.24
40,Tower10,-131.91
41,Tower7,-122.35
41,Tower2,-124.02
41,Tower3,-136.95
41,Tower1,-130.5
41,Tower4,-129.67
41,Tower5,-130.55
41,Tower6,-136.97
41,Tower8,-132.52
41,Tower9,-132.2
41,Tower10,-132.0
42,Tower7,-128.17
42,Tower2,-124.95
42,Tower3,-138.13
42,Tower1,-131.74
42,Tower4,-129.5
42,Tower5,-130.86
42,Tower6,-137.74
42,Tower8,-132.48
42,Tower9,-130.96
42,Tower10,-132.3
43,Tower7,-122.95
43,Tower2,-124.75
43,Tower3,-137.26
43,Tower1,-132.22
43,Tower4,-129.91
43,Tower5,-130.94
43,Tower6,-137.68
43,Tower8,-132.07
43,Tower9,-130.21
43,Tower10,-132.35
44,Tower7,-122.58
44,Tower2,-122.81
44,Tower3,-137.45
44,Tower1,-130.87
44,Tower4,-129.05
44,Tower5,-130.83
44,Tower6,-138.42
44,Tower8,-131.54
44,Tower9,-130.72
44,Tower10,-133.0
45,Tower7,-122.37
45,Tower2,-124.06
45,Tower3,-143.02
45,Tower1,-130.94
45,Tower4,-129.61
45,Tower5,-130.57
45,Tower6,-137.7
45,Tower8,-133.11
45,Tower9,-131.33
45,Tower10,-131.56
46,Tower7,-122.22
46,Tower2,-124.32
46,Tower3,-138.6
46,Tower1,-132.35
46,Tower4,-129.16
46,Tower5,-131.31
46,Tower6,-137.55
46,Tower8,-132.02
46,Tower9,-130.53
46,Tower10,-131.32
47,Tower7,-123.07
47,Tower2,-117.59
47,Tower3,-137.22
47,Tower1,-131.06
47,Tower4,-129.25
47,Tower5,-129.37
47,Tower6,-138.08
47,Tower8,-137.34
47,Tower9,-130.54
47,Tower10,-131.9
48,Tower7,-123.56
48,Tower2,-123.23
48,Tower3,-136.84
48,Tower1,-131.34
48,Tower4,-129.87
48,Tower5,-130.9
48,Tower6,-137.83
48,Tower8,-132.39
48,Tower9,-130.37
48,Tower10,-132.32
49,Tower7,-122.94
49,Tower2,-123.67
49,Tower3,-136.64
49,Tower1,-131.52
49,Tower4,-128.39
49,Tower5,-130.52
49,Tower6,-137.74
49,Tower8,-132.08
49,Tower9,-130.3
49,Tower10,-132.29
50,Tower7,-122.08
50,Tower2,-123.91
50,Tower3,-137.03
50,Tower1,-130.46
50,Tower4,-129.06
50,Tower5,-130.54
50,Tower6,-137.34
50,Tower8,-133.18
50,Tower9,-130.34
50,Tower10,-132.51
51,Tower7,-117.67
51,Tower2,-124.27
51,Tower3,-137.12
51,Tower1,-131.08
51,Tower4,-129.56
51,Tower5,-131.57
51,Tower6,-136.84
51,Tower8,-131.83
51,Tower9,-130.19
51,Tower10,-126.33
52,Tower7,-123.0
52,Tower2,-122.48
52,Tower3,-137.34
52,Tower1,-132.62
52,Tower4,-129.54
52,Tower5,-132.17
52,Tower6,-137.7
52,Tower8,-131.51
52,Tower9,-131.12
52,Tower10,-131.39
53,Tower7,-122.4
53,Tower2,-123.62
53,Tower3,-137.98
53,Tower1,-132.39
53,Tower4,-124.25
53,Tower5,-131.77
53,Tower6,-138.05
53,Tower8,-133.03
53,Tower9,-135.86
53,Tower10,-132.21
54,Tower7,-122.59
54,Tower2,-123.81
54,Tower3,-137.75
54,Tower1,-130.04
54,Tower4,-129.27
54,Tower5,-130.76
54,Tower6,-136.97
54,Tower8,-131.94
54,Tower9,-130.38
54,Tower10,-131.69
55,Tower7,-122.69
55,Tower2,-123.61
55,Tower3,-137.15
55,Tower1,-131.36
55,Tower4,-129.46
55,Tower5,-131.54
55,Tower6,-137.63
55,Tower8,-130.98
55,Tower9,-131.56
55,Tower10,-132.87
56,Tower7,-122.66
56,Tower2,-123.75
56,Tower3,-138.07
56,Tower1,-131.93
56,Tower4,-129.6
56,Tower5,-131.27
56,Tower6,-138.35
56,Tower8,-137.99
56,Tower9,-130.09
56,Tower10,-137.82
57,Tower7,-122.64
57,Tower2,-124.1
57,Tower3,-138.05
57,Tower1,-130.78
57,Tower4,-128.64
57,Tower5,-131.09
57,Tower6,-137.6
57,Tower8,-131.89
57,Tower9,-130.74
57,Tower10,-132.86
58,Tower7,-122.74
58,Tower2,-122.6
58,Tower3,-136.27
58,Tower1,-131.05
58,Tower4,-129.12
58,Tower5,-130.74
58,Tower6,-137.93
58,Tower8,-132.51
58,Tower9,-130.94
58,Tower10,-132.06
59,Tower7,-121.94
59,Tower2,-122.73
59,Tower3,-137.54
59,Tower1,-131.61
59,Tower4,-129.3
59,Tower5,-130.92
59,Tower6,-138.25
59,Tower8,-131.93
59,Tower9,-131.78
59,Tower10,-131.38
60,Tower7,-122.28
60,Tower2,-125.02
60,Tower3,-138.39
60,Tower1,-131.9
60,Tower4,-130.43
60,Tower5,-130.75
60,Tower6,-136.92
60,Tower8,-131.67
60,Tower9,-131.15
60,Tower10,-131.94
61,Tower7,-122.97
61,Tower2,-123.96
61,Tower3,-137.7
61,Tower1,-132.18
61,Tower4,-129.55
61,Tower5,-131.28
61,Tower6,-138.04
61,Tower8,-132.06
61,Tower9,-131.72
61,Tower10,-133.5
62,Tower7,-121.39
62,Tower2,-123.73
62,Tower3,-138.34
62,Tower1,-131.2
62,Tower4,-129.2
62,Tower5,-131.32
62,Tower6,-137.07
62,Tower8,-132.44
62,Tower9,-131.49
62,Tower10,-131.71
63,Tower7,-122.53
63,Tower2,-124.38
63,Tower3,-136.71
63,Tower1,-131.88
63,Tower4,-130.17
63,Tower5,-130.6
63,Tower6,-137.56
63,Tower8,-131.37
63,Tower9,-130.51
63,Tower10,-131.83
64,Tower7,-122.8
64,Tower2,-124.75
64,Tower3,-138.21
64,Tower1,-130.68
64,Tower4,-128.89
64,Tower5,-130.55
64,Tower6,-138.54
64,Tower8,-133.01
64,Tower9,-131.21
64,Tower10,-132.53
65,Tower7,-122.53
65,Tower2,-124.4
65,Tower3,-137.87
65,Tower1,-130.44
65,Tower4,-129.64
65,Tower5,-131.41
65,Tower6,-138.34
65,Tower8,-132.87
65,Tower9,-131.09
65,Tower10,-131.97
66,Tower7,-122.43
66,Tower2,-124.12
66,Tower3,-137.31
66,Tower1,-127.47
66,Tower4,-129.18
66,Tower5,-130.43
66,Tower6,-137.49
66,Tower8,-131.5
66,Tower9,-131.22
66,Tower10,-132.14
67,Tower7,-122.93
67,Tower2,-123.82
67,Tower3,-138.26
67,Tower1,-131.35
67,Tower4,-129.59
67,Tower5,-130.29
67,Tower6,-137.32
67,Tower8,-131.36
67,Tower9,-131.09
67,Tower10,-131.84
68,Tower7,-121.46
68,Tower2,-122.39
68,Tower3,-137.33
68,Tower1,-131.1
68,Tower4,-128.68
68,Tower5,-130.72
68,Tower6,-139.14
68,Tower8,-132.73
68,Tower9,-131.25
68,Tower10,-132.12
69,Tower7,-122.57
69,Tower2,-123.78
69,Tower3,-136.94
69,Tower1,-130.23
69,Tower4,-130.35
69,Tower5,-131.04
69,Tower6,-137.97
69,Tower8,-131.92
69,Tower9,-131.33
69,Tower10,-131.83
70,Tower7,-122.88
70,Tower2,-122.67
70,Tower3,-137.6
70,Tower1,-132.0
70,Tower4,-129.06
70,Tower5,-130.23
70,Tower6,-137.27
70,Tower8,-132.24
70,Tower9,-131.63
70,Tower10,-132.42
71,Tower7,-122.97
71,Tower2,-124.08
71,Tower3,-138.01
71,Tower1,-131.19
71,Tower4,-129.1
71,Tower5,-131.25
71,Tower6,-137.84
71,Tower8,-131.89
71,Tower9,-132.22
71,Tower10,-132.64
72,Tower7,-122.38
72,Tower2,-122.45
72,Tower3,-137.76
72,Tower1,-131.88
72,Tower4,-129.28
72,Tower5,-130.76
72,Tower6,-136.59
72,Tower8,-130.89
72,Tower9,-130.4
72,Tower10,-132.99
73,Tower7,-122.7
73,Tower2,-123.44
73,Tower3,-136.93
73,Tower1,-130.91
73,Tower4,-128.97
73,Tower5,-137.93
73,Tower6,-132.57
73,Tower8,-132.74
73,Tower9,-130.19
73,Tower10,-132.52
74,Tower7,-122.51
74,Tower2,-123.63
74,Tower3,-137.6
74,Tower1,-131.85
74,Tower4,-129.65
74,Tower5,-131.02
74,Tower6,-138.65
74,Tower8,-132.71
74,Tower9,-131.08
74,Tower10,-132.52
75,Tower7,-122.9
75,Tower2,-128.12
75,Tower3,-137.0
75,Tower1,-131.27
75,Tower4,-130.02
75,Tower5,-131.66
75,Tower6,-132.95
75,Tower8,-130.24
75,Tower9,-131.73
75,Tower10,-131.96
76,Tower7,-123.05
76,Tower2,-123.79
76,Tower3,-138.22
76,Tower1,-131.33
76,Tower4,-128.2
76,Tower5,-131.6
76,Tower6,-137.07
76,Tower8,-131.84
76,Tower9,-131.45
76,Tower10,-132.69
77,Tower7,-122.34
77,Tower2,-124.14
77,Tower3,-136.22
77,Tower1,-131.71
77,Tower4,-129.93
77,Tower5,-129.45
77,Tower6,-137.52
77,Tower8,-133.04
77,Tower9,-131.1
77,Tower10,-131.77
78,Tower7,-123.39
78,Tower2,-124.6
78,Tower3,-137.76
78,Tower1,-131.64
78,Tower4,-128.9
78,Tower5,-131.06
78,Tower6,-138.26
78,Tower8,-133.42
78,Tower9,-130.46
78,Tower10,-133.14
79,Tower7,-123.15
79,Tower2,-123.44
79,Tower3,-136.88
79,Tower1,-132.19
79,Tower4,-128.64
79,Tower5,-130.31
79,Tower6,-137.62
79,Tower8,-130.86
79,Tower9,-131.06
79,Tower10,-132.11
80,Tower7,-122.84
80,Tower2,-123.68
80,Tower3,-136.46
80,Tower1,-130.76
80,Tower4,-128.97
80,Tower5,-131.11
80,Tower6,-138.13
80,Tower8,-132.03
80,Tower9,-131.38
80,Tower10,-132.76
81,Tower7,-122.58
81,Tower2,-123.65
81,Tower3,-137.84
81,Tower1,-130.4
81,Tower4,-129.19
81,Tower5,-131.38
81,Tower6,-137.17
81,Tower8,-132.41
81,Tower9,-130.96
81,Tower10,-132.29
82,Tower7,-122.53
82,Tower2,-125.15
82,Tower3,-137.59
82,Tower1,-130.9
82,Tower4,-130.29
82,Tower5,-130.8
82,Tower6,-138.08
82,Tower8,-131.77
82,Tower9,-131.4
82,Tower10,-132.34
83,Tower7,-122.93
83,Tower2,-123.98
83,Tower3,-138.38
83,Tower1,-131.4
83,Tower4,-129.86
83,Tower5,-131.21
83,Tower6,-136.63
83,Tower8,-132.76
83,Tower9,-130.87
83,Tower10,-132.57
84,Tower7,-121.85
84,Tower2,-122.97
84,Tower3,-137.94
84,Tower1,-130.27
84,Tower4,-129.78
84,Tower5,-130.45
84,Tower6,-137.73
84,Tower8,-131.94
84,Tower9,-130.86
84,Tower10,-132.2
85,Tower7,-123.03
85,Tower2,-123.42
85,Tower3,-137.22
85,Tower1,-131.39
85,Tower4,-128.99
85,Tower5,-131.28
85,Tower6,-141.84
85,Tower8,-132.37
85,Tower9,-131.02
85,Tower10,-132.17
86,Tower7,-122.6
86,Tower2,-122.84
86,Tower3,-136.97
86,Tower1,-131.0
86,Tower4,-128.7
86,Tower5,-130.88
86,Tower6,-138.0
86,Tower8,-132.93
86,Tower9,-131.66
86,Tower10,-131.09
87,Tower7,-127.51
87,Tower2,-124.53
87,Tower3,-136.53
87,Tower1,-130.96
87,Tower4,-129.0
87,Tower5,-130.09
87,Tower6,-138.17
87,Tower8,-132.39
87,Tower9,-130.82
87,Tower10,-132.76
88,Tower7,-122.36
88,Tower2,-123.27
88,Tower3,-138.65
88,Tower1,-131.34
88,Tower4,-129.13
88,Tower5,-131.0
88,Tower6,-138.01
88,Tower8,-131.97
88,Tower9,-130.48
88,Tower10,-131.99
89,Tower7,-122.6
89,Tower2,-124.04
89,Tower3,-142.25
89,Tower1,-130.93
89,Tower4,-130.01
89,Tower5,-130.86
89,Tower6,-136.5
89,Tower8,-131.53
89,Tower9,-130.61
89,Tower10,-125.67
90,Tower7,-122.93
90,Tower2,-122.7
90,Tower3,-137.43
90,Tower1,-132.78
90,Tower4,-130.54
90,Tower5,-130.74
90,Tower6,-137.59
90,Tower8,-131.07
90,Tower9,-126.15
90,Tower10,-132.55
91,Tower7,-122.41
91,Tower2,-123.02
91,Tower3,-136.49
91,Tower1,-131.34
91,Tower4,-129.66
91,Tower5,-130.27
91,Tower6,-137.51
91,Tower8,-133.23
91,Tower9,-132.14
91,Tower10,-132.0
92,Tower7,-124.28
92,Tower2,-123.77
92,Tower3,-137.33
92,Tower1,-130.97
92,Tower4,-130.02
92,Tower5,-130.49
92,Tower6,-137.3
92,Tower8,-132.37
92,Tower9,-130.43
92,Tower10,-131.93
93,Tower7,-123.12
93,Tower2,-123.16
93,Tower3,-137.04
93,Tower1,-132.72
93,Tower4,-129.67
93,Tower5,-131.32
93,Tower6,-137.47
93,Tower8,-131.82
93,Tower9,-131.69
93,Tower10,-131.25
94,Tower7,-122.04
94,Tower2,-123.62
94,Tower3,-136.2
94,Tower1,-131.23
94,Tower4,-129.73
94,Tower5,-131.52
94,Tower6,-136.81
94,Tower8,-131.74
94,Tower9,-130.29
94,Tower10,-131.89
95,Tower7,-122.4
95,Tower2,-123.85
95,Tower3,-138.09
95,Tower1,-130.35
95,Tower4,-124.15
95,Tower5,-130.34
95,Tower6,-137.6
95,Tower8,-132.51
95,Tower9,-130.56
95,Tower10,-133.3
96,Tower7,-120.68
96,Tower2,-124.42
96,Tower3,-138.9
96,Tower1,-131.73
96,Tower4,-129.35
96,Tower5,-130.23
96,Tower6,-137.97
96,Tower8,-131.91
96,Tower9,-131.72
96,Tower10,-131.28
97,Tower7,-121.99
97,Tower2,-124.59
97,Tower3,-138.15
97,Tower1,-132.63
97,Tower4,-130.64
97,Tower5,-131.12
97,Tower6,-138.35
97,Tower8,-132.16
97,Tower9,-135.74
97,Tower10,-132.09
98,Tower7,-122.57
98,Tower2,-123.83
98,Tower3,-137.39
98,Tower1,-131.97
98,Tower4,-129.22
98,Tower5,-130.88
98,Tower6,-138.12
98,Tower8,-131.53
98,Tower9,-131.59
98,Tower10,-131.31
99,Tower7,-124.01
99,Tower2,-124.04
99,Tower3,-136.87
99,Tower1,-130.68
99,Tower4,-134.5
99,Tower5,-132.0
99,Tower6,-137.4
99,Tower8,-132.42
99,Tower9,-132.32
99,Tower10,-132.29
100,Tower7,-123.84
100,Tower2,-122.62
100,Tower3,-142.49
100,Tower1,-130.86
100,Tower4,-123.76
100,Tower5,-131.37
100,Tower6,-136.84
100,Tower8,-133.64
100,Tower9,-131.18
100,Tower10,-131.6
101,Tower7,-122.08
101,Tower2,-124.85
101,Tower3,-136.92
101,Tower1,-130.95
101,Tower4,-128.59
101,Tower5,-130.72
101,Tower6,-137.92
101,Tower8,-131.64
101,Tower9,-130.68
101,Tower10,-132.87
102,Tower7,-122.63
102,Tower2,-124.05
102,Tower3,-137.41
102,Tower1,-133.21
102,Tower4,-129.12
102,Tower5,-130.23
102,Tower6,-137.51
102,Tower8,-132.69
102,Tower9,-130.79
102,Tower10,-132.02
103,Tower7,-122.04
103,Tower2,-124.18
103,Tower3,-137.26
103,Tower1,-130.73
103,Tower4,-129.11
103,Tower5,-132.51
103,Tower6,-136.84
103,Tower8,-133.16
103,Tower9,-130.97
103,Tower10,-132.77
104,Tower7,-123.48
104,Tower2,-124.59
104,Tower3,-137.98
104,Tower1,-131.05
104,Tower4,-130.39
104,Tower5,-130.35
104,Tower6,-137.65
104,Tower8,-133.52
104,Tower9,-131.48
104,Tower10,-132.63
105,Tower7,-121.96
105,Tower2,-123.98
105,Tower3,-137.29
105,Tower1,-131.51
105,Tower4,-129.98
105,Tower5,-135.59
105,Tower6,-138.2
105,Tower8,-132.11
105,Tower9,-130.93
105,Tower10,-132.23
106,Tower7,-123.37
106,Tower2,-124.54
106,Tower3,-137.52
106,Tower1,-126.12
106,Tower4,-129.96
106,Tower5,-131.41
106,Tower6,-135.89
106,Tower8,-131.86
106,Tower9,-131.22
106,Tower10,-132.24
107,Tower7,-121.64
107,Tower2,-123.69
107,Tower3,-138.19
107,Tower1,-131.73
107,Tower4,-130.18
107,Tower5,-131.24
107,Tower6,-136.71
107,Tower8,-131.96
107,Tower9,-131.76
107,Tower10,-132.35
108,Tower7,-122.69
108,Tower2,-124.19
108,Tower3,-137.28
108,Tower1,-126.49
108,Tower4,-129.03
108,Tower5,-130.46
108,Tower6,-136.22
108,Tower8,-132.51
108,Tower9,-131.27
108,Tower10,-131.79
109,Tower7,-123.37
109,Tower2,-124.49
109,Tower3,-137.13
109,Tower1,-130.61
109,Tower4,-129.82
109,Tower5,-125.04
109,Tower6,-137.88
109,Tower8,-131.46
109,Tower9,-131.92
109,Tower10,-132.65
110,Tower7,-122.64
110,Tower2,-123.71
110,Tower3,-136.97
110,Tower1,-130.25
110,Tower4,-129.31
110,Tower5,-135.36
110,Tower6,-136.95
110,Tower8,-131.4
110,Tower9,-131.93
110,Tower10,-131.82
111,Tower7,-123.0
111,Tower2,-123.66
111,Tower3,-138.34
111,Tower1,-131.74
111,Tower4,-129.74
111,Tower5,-130.98
111,Tower6,-136.73
111,Tower8,-131.86
111,Tower9,-131.48
111,Tower10,-133.05
112,Tower7,-122.29
112,Tower2,-123.92
112,Tower3,-137.35
112,Tower1,-131.23
112,Tower4,-129.35
112,Tower5,-131.44
112,Tower6,-137.73
112,Tower8,-136.73
112,Tower9,-125.99
112,Tower10,-127.52
113,Tower7,-121.59
113,Tower2,-124.09
113,Tower3,-137.31
113,Tower1,-131.79
113,Tower4,-129.71
113,Tower5,-130.69
113,Tower6,-137.39
113,Tower8,-128.03
113,Tower9,-129.96
113,Tower10,-137.73
114,Tower7,-123.56
114,Tower2,-123.65
114,Tower3,-136.63
114,Tower1,-131.12
114,Tower4,-130.12
114,Tower5,-130.97
114,Tower6,-137.46
114,Tower8,-132.74
114,Tower9,-129.29
114,Tower10,-132.49
115,Tower7,-121.86
115,Tower2,-122.66
115,Tower3,-136.45
115,Tower1,-132.31
115,Tower4,-130.0
115,Tower5,-131.86
115,Tower6,-136.93
115,Tower8,-132.27
115,Tower9,-129.64
115,Tower10,-132.17
116,Tower7,-122.19
116,Tower2,-122.51
116,Tower3,-137.37
116,Tower1,-132.06
